,domain,article_title,date,quote
0,addresses,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"As an additional firewall, a new key pair should be used for each transaction to keep them from being linked to a common owner. Some linking is still unavoidable with multi-input transactions, which necessarily reveal that their inputs were owned by the same owner. The risk is that if the owner of a key is revealed, linking could reveal other transactions that belonged to the same owner."
1,banks,Bitcoin open source implementation of P2P currency,2009-02-11 - Link,"Banks must be trusted to hold our money and transfer it electronically, but they lend it out in waves of credit bubbles with barely a fraction in reserve. We have to trust them with our privacy, trust them not to let identity thieves drain our accounts. Their massive overhead costs make micropayments impossible."
2,cryptocurrency,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,A purely peer-to-peer version of electronic cash would allow online payments to be sent directly from one party to another without going through a financial institution.
3,cryptocurrency,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"What is needed is an electronic payment system based on cryptographic proof instead of trust, allowing any two willing parties to transact directly with each other without the need for a trusted third party. Transactions that are computationally impractical to reverse would protect sellers from fraud, and routine escrow mechanisms could easily be implemented to protect buyers."
4,cryptocurrency,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"We need a way for the payee to know that the previous owners did not sign any earlier transactions. For our purposes, the earliest transaction is the one that counts, so we don't care about later attempts to double-spend. The only way to confirm the absence of a transaction is to be aware of all transactions. In the mint based model, the mint was aware of all transactions and decided which arrived first. To accomplish this without a trusted party, transactions must be publicly announced, and we need a system for participants to agree on a single history of the order in which they were received. The payee needs proof that at the time of each transaction, the majority of nodes agreed it was the first received."
5,cryptocurrency,Bitcoin P2P e-cash paper,2009-01-17 - Link,"I would be surprised if 10 years from now we're not using electronic currency in some way, now that we know a way to do it that won't inevitably get dumbed down when the trusted third party gets cold feet."
6,cryptocurrency,Bitcoin open source implementation of P2P currency,2009-02-11 - Link,"With e-currency based on cryptographic proof, without the need to trust a third party middleman, money can be secure and transactions effortless."
7,cryptocurrency,Bitcoin open source implementation of P2P currency,2009-02-15 - Link,"A lot of people automatically dismiss e-currency as a lost cause because of all the companies that failed since the 1990's. I hope it's obvious it was only the centrally controlled nature of those systems that doomed them. I think this is the first time we're trying a decentralized, non-trust-based system."
8,difficulty,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"To compensate for increasing hardware speed and varying interest in running nodes over time, the proof-of-work difficulty is determined by a moving average targeting an average number of blocks per hour. If they're generated too fast, the difficulty increases."
9,difficulty,Bitcoin P2P e-cash paper,2008-11-08 - Link,"As computers get faster and the total computing proof-of-worker applied to creating bitcoins increases, the difficulty increases proportionally to keep the total new production constant. Thus, it is known in advance how many new bitcoins will be created every year in the future."
10,difficulty,Bitcoin P2P e-cash paper,2008-11-11 - Link,"The target time between blocks will probably be 10 minutes. Every block includes its creation time. If the time is off by more than 36 hours, other nodes won't work on it. If the timespan over the last 6*24*30 blocks is less than 15 days, blocks are being generated too fast and the proof-of-work difficulty doubles. Everyone does the same calculation with the same chain data, so they all get the same result at the same link in the chain."
11,difficulty,Re: Proof-of-work difficulty increasing,2010-07-16 - Link,"Right, the difficulty adjustment is trying to keep it so the network as a whole generates an average of 6 blocks per hour.  The time for your block to mature will always be around 20 hours."
12,difficulty,Re: The dollar cost of bitmining energy,2010-07-16 - Link,"Difficulty just increased by 4 times, so now your cost is US$0.02/BTC."
13,economics,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"The problem of course is the payee can't verify that one of the owners did not double-spend the coin. A common solution is to introduce a trusted central authority, or mint, that checks every transaction for double spending. After each transaction, the coin must be returned to the mint to issue a new coin, and only coins issued directly from the mint are trusted not to be double-spent. The problem with this solution is that the fate of the entire money system depends on the company running the mint, with every transaction having to go through them, just like a bank."
14,economics,Bitcoin open source implementation of P2P currency,2009-02-11 - Link,"The root problem with conventional currency is all the trust that's required to make it work. The central bank must be trusted not to debase the currency, but the history of fiat currencies is full of breaches of that trust."
15,economics,Re: Current Bitcoin economic model is unsustainable,2010-02-21 - Link,"A rational market price for something that is expected to increase in value will already reflect the present value of the expected future increases.  In your head, you do a probability estimate balancing the odds that it keeps increasing."
16,economics,Re: Current Bitcoin economic model is unsustainable,2010-02-21 - Link,"The price of any commodity tends to gravitate toward the production cost.  If the price is below cost, then production slows down.  If the price is above cost, profit can be made by generating and selling more.  At the same time, the increased production would increase the difficulty, pushing the cost of generating towards the price."
17,economics,Re: BTC Vulnerability? (Massive Attack against BTC system. Is it really?),2010-07-09 - Link,"When someone tries to buy all the world's supply of a scarce asset, the more they buy the higher the price goes.  At some point, it gets too expensive for them to buy any more.  It's great for the people who owned it beforehand because they get to sell it to the corner at crazy high prices.  As the price keeps going up and up, some people keep holding out for yet higher prices and refuse to sell."
18,economics,Re: Bitcoin does NOT violate Mises' Regression Theorem,2010-08-27 - Link,"As a thought experiment, imagine there was a base metal as scarce as gold but with the following properties:
- boring grey in colour
- not a good conductor of electricity
- not particularly strong, but not ductile or easily malleable either
- not useful for any practical or ornamental purpose

and one special, magical property:
- can be transported over a communications channel

If it somehow acquired any value at all for whatever reason, then anyone wanting to transfer wealth over a long distance could buy some, transmit it, and have the recipient sell it.

Maybe it could get an initial value circularly as you've suggested, by people foreseeing its potential usefulness for exchange.  (I would definitely want some)  Maybe collectors, any random reason could spark it.

I think the traditional qualifications for money were written with the assumption that there are so many competing objects in the world that are scarce, an object with the automatic bootstrap of intrinsic value will surely win out over those without intrinsic value.  But if there were nothing in the world with intrinsic value that could be used as money, only scarce but no intrinsic value, I think people would still take up something.

(I'm using the word scarce here to only mean limited potential supply)"
